frame.no,timestamp
"304","3.931643"
"467","3.196869"
"478","3.229985"
"465","3.364612"
"403","3.366444"
"492","3.565686"
"411","2.848297"
"456","2.989565"
"474","3.171113"
"480","3.462799"
"477","3.865093"
"413","3.616646"
"482","3.533565"
"478","3.093158"
"507","4.738460"
"459","3.773335"
"455","3.334370"
"417","3.385162"
"295","3.232383"
"502","3.477211"
"486","2.920306"
"470","3.275041"
"493","3.446152"
"515","3.531206"
"483","3.162040"
"499","3.531976"
"488","3.051309"
"546","4.894573"
"473","2.865061"
"474","3.153109"
"484","3.411539"
"505","3.619492"
"462","3.052707"
"479","3.497723"
"470","3.415640"
"501","4.679639"
"324","6.015516"
"583","7.113397"
"300","14.049706"
"378","11.001304"
"419","4.782245"
"369","2.945602"
"479","3.623663"
"398","3.154324"
"455","3.707586"
"385","2.925342"
"492","3.982058"
"426","4.126645"
"478","4.128788"
"466","4.006020"
"455","4.048347"
"377","3.165759"
"358","3.142935"
"312","2.466536"
"326","2.637376"
"352","2.554182"
"309","2.427955"
"356","3.218472"
"350","3.130495"
"359","3.088797"
"374","2.992561"
"346","3.142404"
"355","2.783134"
"359","2.711530"
"326","2.631522"
"335","2.821258"
"358","3.595601"
"360","3.017035"
"388","3.655990"
"353","3.199220"
"429","2.976443"
"368","3.076439"
"372","3.066626"
"347","3.055097"
"398","3.904086"
"352","3.513565"
"383","3.760800"
"330","3.749920"
"498","5.586079"
"6076","11.996144"
"351","3.144084"
"523","5.824736"
"5596","10.059965"
"471","3.012431"
"499","3.765085"
"468","3.446811"
"486","3.849446"
"485","3.640094"
"480","3.644532"
"476","3.525904"
"452","2.957251"
"487","3.721322"
"501","3.742496"
"508","3.736333"
"473","3.367923"
"501","3.482356"
"493","3.443806"
"425","3.265980"
"498","3.721329"
"510","3.713383"
"3710","7.876990"
"491","3.612976"
"448","3.511765"
"473","3.138596"
"467","3.293181"
"510","3.569677"
"450","2.665362"
