frame.no,timestamp
"479","4.191644"
"272","2.499781"
"459","3.346995"
"351","2.834000"
"378","3.314822"
"371","2.752811"
"353","2.571730"
"330","2.783666"
"360","2.881944"
"312","2.621557"
"357","2.594271"
"335","2.439700"
"377","2.854970"
"395","2.665795"
"308","2.301140"
"350","2.591834"
"449","2.876626"
"367","2.522472"
"348","2.182921"
"355","2.505455"
"332","2.802290"
"302","2.437998"
"362","2.392403"
"441","2.639652"
"290","2.163371"
"321","2.299328"
"306","2.159257"
"315","2.200794"
"323","2.521175"
"332","2.357955"
"417","3.768361"
"322","2.874498"
"397","3.099196"
"435","2.700197"
"402","2.928759"
"424","2.943249"
"396","2.597170"
"326","2.420090"
"458","3.046482"
"434","2.509974"
"342","2.317959"
"427","3.038056"
"451","2.921202"
"394","2.926939"
"347","2.494648"
"398","2.570293"
"442","3.079961"
"441","3.061779"
"454","3.104697"
"340","2.321689"
"397","3.027774"
"412","2.579415"
"308","2.446717"
"448","3.342270"
"406","2.811636"
"424","2.880131"
"353","2.710400"
"398","2.564402"
"439","2.929576"
"368","2.607046"
"434","2.640143"
"438","3.128572"
"269","2.171532"
"280","2.142198"
"306","2.658274"
"263","2.421258"
"289","2.378933"
"291","2.512179"
"297","2.734584"
"293","2.541973"
"273","2.189600"
"263","2.074989"
"303","2.647532"
"298","2.747377"
"304","2.498746"
"320","2.803577"
"268","2.149492"
"301","2.539123"
"307","2.640049"
"304","2.682644"
"287","2.303663"
"299","2.695427"
"279","2.545228"
"244","1.925684"
"345","3.179721"
"296","2.738405"
"294","2.707155"
"264","2.175183"
"279","2.275691"
"367","3.481726"
"269","2.663346"
"339","3.072809"
"396","3.053896"
"303","2.443327"
"404","3.037796"
"365","2.899464"
"355","2.886787"
"344","2.614754"
"370","2.662440"
"328","2.764632"
"362","2.991376"
"435","3.153786"
"389","2.913842"
"319","2.382218"
"316","2.248126"
"346","2.766987"
"330","2.727908"
"351","2.798997"
