frame.no,timestamp
"621","7.109824"
"568","5.702691"
"590","4.764998"
"601","4.857475"
"580","5.325262"
"595","5.528045"
"599","5.719750"
"581","5.444426"
"584","4.872366"
"608","5.284011"
"589","5.453246"
"612","5.732911"
"566","4.696981"
"589","5.382262"
"586","5.447658"
"625","5.637625"
"568","5.374377"
"615","5.641356"
"574","5.472730"
"1169","4.004366"
"1120","3.553387"
"1213","3.981545"
"594","5.354503"
"601","4.805686"
"596","4.454068"
"576","4.219621"
"583","5.360839"
"586","4.737356"
"591","4.345852"
"598","5.227368"
"3317","9.322542"
"590","3.699345"
"551","3.795783"
"568","3.421285"
"565","3.479935"
"623","3.819206"
"535","4.423701"
"611","4.741020"
"600","8.822682"
"543","4.742689"
"589","4.696437"
"569","4.609735"
"585","4.101705"
"654","5.568671"
"594","4.247670"
"557","3.472750"
"581","3.499780"
"558","3.618752"
"579","3.991672"
"561","4.065193"
"564","4.803398"
"571","3.600292"
"606","4.736731"
"575","4.558808"
"580","4.457420"
"588","4.455956"
"570","4.088598"
"513","3.817832"
"551","5.363084"
"599","4.498269"
"574","5.003085"
"613","4.801362"
"599","4.259357"
"586","4.657237"
"537","3.868339"
"597","3.895668"
"555","3.591850"
"589","3.382972"
"603","4.537481"
"556","3.584471"
"581","4.100605"
"3593","7.408602"
"608","4.610468"
"590","4.503191"
"585","3.856089"
"540","4.711048"
"563","4.029219"
"571","4.167774"
"562","3.371018"
"544","3.586271"
"568","3.704595"
"588","3.594625"
"564","3.413708"
"578","3.943042"
"586","3.969842"
"557","3.910776"
"532","3.677200"
"568","4.397433"
"591","4.935057"
"534","5.999920"
"565","3.490760"
"567","3.478146"
"564","3.486220"
"543","3.674807"
"590","3.670587"
"576","3.849383"
"566","3.736929"
"523","3.912138"
"540","4.337616"
"572","3.896980"
"550","3.821752"
"562","3.208472"
"594","3.791994"
"586","3.411399"
"587","3.896283"
"575","3.363263"
"584","3.544905"
"558","3.865829"
"574","3.521041"
"548","3.495377"
"548","3.743776"
